,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
4047,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2393-lombardia-lince-lima-lima-toratto-grupo-inmobiliario,LOMBARDIA,-12.0813968,-77.03940030000001,Jr. Manuel Gómez N° 390,Lince,En construcción,"31 de Diciembre, 2024",BBVA,"['Área de juegos para niños', 'Lobby', 'Otros']",flat,TIPO C,Piso: 1,2,85.38 m2,"S/ 538,640"
5668,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2587-bertolotto-etapa-iii-san-miguel-lima-lima-grupo-tyc,Bertolotto - Etapa III,-12.0915197,-77.0828203,Av. Bertolotto 760,San Miguel,En construcción,"31 de Julio, 2024","Banco BCP, BBVA","['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,E3 1701,Piso: 17,3,132.90 m2,"S/ 695,923"
3617,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3237-valle-grande-4-carabayllo-lima-lima-enacorp,VALLE GRANDE 4,-11.862355623377484,-77.05571705709315,Av. San Juan de Dios s/n Paradero Haras - Carabayllo,Carabayllo,En construcción,"01 de Noviembre, 2024",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Parque privado', 'Sala de Niños', 'Sala de usos Múltiples', 'Otros']",flat,TIPO 59,Piso: 5,3,54.74 m2,"S/ 85,695"
4910,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2501-celeste-surquillo-lima-lima-capac-asociados,Celeste,-12.1184239,-77.0067938,Orquideas 161,Surquillo,En planos,"30 de Mayo, 2025",Banco Scotiabank,['Lobby'],duplex,Duplex 1101,Piso: 11,3,116.00 m2,"S/ 687,410"
1520,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3425-alameda-san-miguel-san-miguel-lima-lima-tale-inmobiliaria,Alameda San Miguel,-12.06894549013527,-77.09819108247758,"Esquina Av. Precursores y Av. Elmer Faucett, San Miguel",San Miguel,En planos,"01 de Julio, 2027",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de usos Múltiples', 'Zona de Lavandería', 'Zona de Parrillas']",flat,X05,Pisos: Entre 2 al 21,3,68.33 m2,"S/ 456,000"
2372,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3381-novo-3-cercado-de-lima-lima-lima-my-home,NOVO 3,-12.0732836,-77.03092219999999,jirón José Gálvez 950,Cercado de lima,En planos,"15 de Diciembre, 2026",Banco Scotiabank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo Único 205,Piso: 2,2,56.00 m2,"S/ 381,000"
3093,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2607-edificio-orizzon-2-magdalena-del-mar-lima-lima-vitain,Edificio Orizzon 2,-12.0949213,-77.0682432,Jirón Daniel Carrión 110,Magdalena Del Mar,En construcción,"30 de Septiembre, 2024",BBVA,"['Área de juegos para niños', 'Lobby', 'Zona de Parrillas', 'Otros']",flat,DPTO TIPO 3-A,Pisos: 4 y 8,3,76.02 m2,"S/ 620,000"
3391,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3213-pizarro-1399-pueblo-libre-lima-lima-jej-fomenta-inmobiliaria,Pizarro 1399,-12.0773752,-77.0662037,Jr. Gral Jose Ramon Pizarro 1399 Pueblo Libre,Pueblo Libre,Entrega inmediata,"31 de Julio, 2024",Otros,"['Lobby', 'Otros']",flat,F6,Piso: 5,3,56.18 m2,"S/ 377,000"
1588,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3311-homely-pueblo-libre-lima-lima-grupo-sol,HOMELY,-12.07084343101559,-77.06322830434485,jr mariano arce 233,Pueblo Libre,En planos,"31 de Octubre, 2025",Banco Scotiabank,"['Área de juegos para niños', 'Lobby', 'Otros']",duplex,DÚPLEX 701,Piso: 7,3,151.28 m2,"S/ 1,049,000"
4724,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2745-salaverry-2431-san-isidro-lima-lima-v&v-grupo-inmobiliario,SALAVERRY 2431,-12.0901573,-77.05153899999999,Av. Salaverry 2431,San Isidro,En construcción,"31 de Mayo, 2026",Financiamiento Propio,"['Gimnasio', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Parrillas']",flat,Tipo X09,Pisos: Entre 3 al 27,2,59.90 m2,"S/ 545,000"
